SECTION Coordinates
0 0
9 28
-3 -16
-33 -27
36 -50
-7 14
9 27
-40 -8
20 28
39 -45
43 -2
-29 40
7 42
4 -30
-29 -20
-44 -36
-34 14
25 -42
49 38
-1 45
-37 -13
-24 36
-22 42
3 -39
48 -16
-24 0
-15 -7
-45 -25
40 -50
2 -43
-2 12
-33 -47
-20 4
44 -36
26 -50
-35 47
24 -25
-25 -8
-49 -40
-33 19
-48 14
-40 23
13 18
-25 3
-42 0
-26 31
47 -39
39 24
-32 -28
27 42
-45 -44

SECTION Coordinates
0 0
9 28
-3 -16
-33 -27
36 -50
-7 14
9 27
-40 -8
20 28
39 -45
43 -2
-29 40
7 42
4 -30
-29 -20
-44 -36
-34 14
25 -42
49 38
-1 45
-37 -13
-24 36
-22 42
3 -39
48 -16
-24 0
-15 -7
-45 -25
40 -50
2 -43
-2 12
-33 -47
-20 4
44 -36
26 -50
-35 47
24 -25
-25 -8
-49 -40
-33 19
-48 14
-40 23
13 18
-25 3
-42 0
-26 31
47 -39
39 24
-32 -28
27 42
-45 -44

